chapter,black,blue,cyan,cyan-blue,green,lightness,magenta,orange,pink,purple,red,saturation,teal,white,yellow,yellow-green
0,0.025350603255624563,0.008569500242071749,0.07445269340891529,0.03702014485829985,0.00034106466682270407,0.7478930481132254,0.022628498417716445,0.05646083086719399,0.11351401611460414,0.008961864882282592,0.0989235822771417,0.33388093253339074,0.0004556880448618267,0.5190242745061576,0.0333930764273416,0.0009041620309659464
1,0.23048647329634103,0.005985164302126409,0.01262165027067466,0.016783500289450352,0.008410256184864094,0.5467570609332376,0.003085420930246553,0.25115520171442657,0.016776874636063362,0.00358281566203327,0.10517086690435663,0.45096526803111847,0.008492556385412907,0.19697919182364443,0.12638132222023912,0.014088705380120624
2,0.19291647737468123,0.023129010509251473,0.057374400655757746,0.06069894954023399,0.008842273288101268,0.6002855099551561,0.010317028914885142,0.16713807763158883,0.021139175597164214,0.009507508535384462,0.06344019905433532,0.37378029595866424,0.04702942438957626,0.2590788011607083,0.06610454075602525,0.01328413259230642
3,0.1692335160508916,0.07893548884685236,0.020308914871168312,0.09477897929421193,0.009750875830288745,0.5737701520052163,0.010862127271388631,0.17367978738052575,0.016807592990887535,0.015581295408071783,0.0506570687962522,0.31483848053537455,0.010499546401054159,0.212813146635328,0.1120089365058833,0.024082723717195737
4,0.18533539515096958,0.04935881402662604,0.0668909535665654,0.11333166088651743,0.03703792119428259,0.5654799336435596,0.011965404259983183,0.08829425981942174,0.014265107928608706,0.02022396424171412,0.02935267227390827,0.3354896080598262,0.05303053427364899,0.22078814418220505,0.0789498028288136,0.031175365366735257
5,0.16518378171431014,0.01727622775824317,0.055969079442134466,0.11781582814141513,0.02592313691630278,0.5600854733675301,0.004061454698887262,0.17022899195570396,0.017675096967983982,0.005432977584482372,0.08056369560138245,0.510416907011517,0.02753394116420341,0.14396926634737486,0.12212369749942759,0.046242824208148556
6,0.32366873428400894,0.014156583052554185,0.07647177190926878,0.052617821330295377,0.00782551302886763,0.4747659262842912,0.004382632883642128,0.12367124979422052,0.009302918453217748,0.005927755528087615,0.056174934022519295,0.32929023782983213,0.02478175089888675,0.2270827937074427,0.0625475995247002,0.011387941582288168
7,0.21641882977676544,0.02540424177718445,0.06632310589767382,0.11055318843029122,0.011387345583159333,0.540366838695945,0.004749837870119091,0.18130433123930503,0.010766651541496874,0.006376629712058696,0.05157396963707205,0.37547731843017274,0.024131195286547058,0.19172796177227477,0.08799538544389697,0.011287326032155168
8,0.20636370231643464,0.03351771840369028,0.01574764578762285,0.04137461836764367,0.011761340166528623,0.5235389058630932,0.01342527605642509,0.18334907430614927,0.028180298771935976,0.018938128646422837,0.08845026221062965,0.4290573815711035,0.011306919091166663,0.2150617742325242,0.116330103806938,0.016193137835888268
9,0.18148104738822204,0.010885199047534438,0.0362785170285659,0.02764116361320545,0.011007922025671604,0.6141276398620622,0.007336589645826142,0.1804690432599958,0.013668617336216647,0.005267245815307214,0.03872998962094426,0.46593399030234334,0.017657191479863162,0.235735006581514,0.20976923612411277,0.024073231033020615
10,0.27601383587048245,0.03730339812676197,0.02248615777000149,0.08773326107062368,0.010820099386281666,0.4858499921985697,0.005367264788925036,0.11653043074921009,0.006892956173486797,0.007989207556613089,0.02913429196143411,0.4096489987061575,0.009150022406377106,0.20450044393280084,0.15411150546373617,0.031967124743265456
